profile,method,numStall
p1,Method1,2
p1,Method2,0
p1,Method3,3
p1,Method4,3
p1,Method5,0
p1,Method6,0
p1,Method7,0
p1,Method8,0
p1,Method9,0
p1,Method10,0
p2,Method1,0
p2,Method2,0
p2,Method3,0
p2,Method4,0
p2,Method5,0
p2,Method6,0
p2,Method7,0
p2,Method8,0
p2,Method9,0
p2,Method10,0
p3,Method1,0
p3,Method2,0
p3,Method3,1
p3,Method4,3
p3,Method5,0
p3,Method6,0
p3,Method7,0
p3,Method8,0
p3,Method9,0
p3,Method10,0
p4,Method1,0
p4,Method2,0
p4,Method3,5
p4,Method4,0
p4,Method5,0
p4,Method6,0
p4,Method7,0
p4,Method8,0
p4,Method9,0
p4,Method10,0
